ID,type,desc,room_ID
e1111111-1111-1111-1111-111111111111,Projector,Epson XGA,11111111-1111-1111-1111-111111111111
e2222222-2222-2222-2222-222222222222,Whiteboard,Quadro grande,11111111-1111-1111-1111-111111111111
e3333333-3333-3333-3333-333333333333,Computer,Desktop Dell Optiplex,11111111-1111-1111-1111-111111111111
e4444444-4444-4444-4444-444444444444,Speaker,Colunas Logitech,11111111-1111-1111-1111-111111111111
e5555555-5555-5555-5555-555555555555,Monitor,LG UltraWide 34”,22222222-2222-2222-2222-222222222222
e6666666-6666-6666-6666-666666666666,3D Printer,Prusa i3 MK3S,22222222-2222-2222-2222-222222222222
e7777777-7777-7777-7777-777777777777,Camera,Webcam Logitech C920,33333333-3333-3333-3333-333333333333
e8888888-8888-8888-8888-888888888888,Controller,Arduino Mega Kit,33333333-3333-3333-3333-333333333333
e9999999-9999-9999-9999-999999999999,Laser Cutter,Epilog Mini,44444444-4444-4444-4444-444444444444
e0000000-0000-0000-0000-000000000000,VR Headset,Meta Quest 3,44444444-4444-4444-4444-444444444444
